bottle;description;inoc_mass [g];sub_mass [g];VS [%]
1.1;Inoculum;252,18;0;2,99
1.2;Inoculum;254,71;0;2,99
1.3;Inoculum;253,59;0;2,99
2.1;Cellulose;256,58;3,54;100
2.2;Cellulose;247,9;3,53;100
2.3;Cellulose;249;3,52;100
3.1;Test 1;221,3;28,87;9,89
3.2;Test 1;223,3;29,4;9,89
3.3;Test 1;224,5;28,6;9,89
4.1;Test 2;217,16;34,96;8,27
4.2;Test 2;216,34;35,17;8,27
4.3;Test 2;214,95;34,35;8,27
5.1;Rice water 1;159,5;110,01;2,19
5.2;Rice water 1;158,14;97,3;2,19
5.3;Rice water 1;158,36;94,25;2,19
6.1;Test 3;220,21;29,04;7,09
6.2;Test 3;221,48;29,22;7,09
6.3;Test 3;221,7;30,3;7,09
7.1;Test 4;215,14;36,92;6,57
7.2;Test 4;213,3;36,33;6,57
7.3;Test 4;215,2;36,45;6,57
8.1;Rice water 2;188,5;70;3,3
8.2;Rice water 2;185,09;64,68;3,3
8.3;Rice water 2;192,34;60,01;3,3
9.1;Test 5;193,3;57,8;4,21
9.2;Test 5;191,92;58,3;4,21
9.3;Test 5;192,8;58,5;4,21
10.1;Test 7;214,1;35,1;8,2
10.2;Test 7;215,5;34,8;8,2
10.3;Test 7;215,2;35,1;8,2
