bottle;days;volume
1.1;1;120
1.1;2;80
1.1;3;101
1.1;4;78
1.1;5;90
1.1;6;90
1.1;7;75
1.1;8;95
1.1;9;65
1.1;10;68
1.1;11;62
1.1;12;60
1.1;13;58
1.1;14;48
1.1;15;41
1.1;16;44
1.1;17;30
1.1;18;55
1.1;19;51
1.1;20;50
1.1;21;43
1.1;22;42
1.1;23;40
1.1;24;38
1.1;25;29
1.1;27;58
1.1;29;59
1.1;31;57
1.1;33;59
1.1;35;50
1.1;38;71
1.1;41;71
1.1;44;70
1.1;47;50
1.1;50;60
1.1;54;60
1.2;1;100
1.2;2;80
1.2;3;100
1.2;4;95
1.2;5;95
1.2;6;95
1.2;7;75
1.2;8;100
1.2;9;72
1.2;10;72
1.2;11;62
1.2;12;65
1.2;13;62
1.2;14;47
1.2;15;44
1.2;16;48
1.2;17;37
1.2;18;53
1.2;19;51
1.2;20;55
1.2;21;45
1.2;22;46
1.2;23;40
1.2;24;37
1.2;25;28
1.2;27;52
1.2;29;61
1.2;31;62
1.2;33;56
1.2;35;50
1.2;38;68
1.2;41;69
1.2;44;70
1.2;47;50
1.2;50;50
1.2;54;60
1.3;1;90
1.3;2;80
1.3;3;99
1.3;4;85
1.3;5;100
1.3;6;100
1.3;7;85
1.3;8;100
1.3;9;76
1.3;10;77
1.3;11;64
1.3;12;67
1.3;13;65
1.3;14;55
1.3;15;47
1.3;16;48
1.3;17;39
1.3;18;54
1.3;19;56
1.3;20;58
1.3;21;45
1.3;22;43
1.3;23;40
1.3;24;40
1.3;25;33
1.3;27;59
1.3;29;62
1.3;31;64
1.3;33;56
1.3;35;52
1.3;38;69
1.3;41;73
1.3;44;71
1.3;47;50
1.3;50;60
1.3;54;60
10.1;1;185
10.1;2;161
10.1;3;148
10.1;4;119
10.1;5;119
10.1;6;120
10.1;7;135
10.1;8;115
10.1;9;123
10.1;10;117
10.1;11;119
10.1;12;120
10.1;13;123
10.1;14;95
10.1;15;90
10.1;16;52
10.1;17;52
10.1;18;42
10.1;20;65
10.1;22;70
10.1;24;65
10.1;26;58
10.1;28;60
10.1;31;62
10.1;34;60
10.1;37;69
10.1;40;65
10.1;43;60
10.1;47;60
10.1;54;92
10.2;1;160
10.2;2;160
10.2;3;137
10.2;4;111
10.2;5;109
10.2;6;117
10.2;7;125
10.2;8;109
10.2;9;125
10.2;10;121
10.2;11;126
10.2;12;130
10.2;13;130
10.2;14;110
10.2;15;112
10.2;16;79
10.2;17;56
10.2;18;45
10.2;20;73
10.2;22;70
10.2;24;70
10.2;26;57
10.2;28;60
10.2;31;68
10.2;34;60
10.2;37;67
10.2;40;72
10.2;43;70
10.2;47;70
10.2;54;98
10.3;1;160
10.3;2;160
10.3;3;142
10.3;4;115
10.3;5;111
10.3;6;120
10.3;7;130
10.3;8;115
10.3;9;124
10.3;10;122
10.3;11;123
10.3;12;122
10.3;13;123
10.3;14;115
10.3;15;109
10.3;16;60
10.3;17;52
10.3;18;42
10.3;20;68
10.3;22;65
10.3;24;65
10.3;26;52
10.3;28;58
10.3;31;60
10.3;34;59
10.3;37;73
10.3;40;63
10.3;43;65
10.3;47;70
10.3;54;100
2.1;1;110
2.1;2;155
2.1;3;450
2.1;4;425
2.1;5;305
2.1;6;270
2.1;7;228
2.1;8;260
2.1;9;220
2.1;10;262
2.1;11;260
2.1;12;271
2.1;13;240
2.1;14;142
2.1;15;63
2.1;16;62
2.1;17;59
2.1;18;70
2.1;19;60
2.1;20;62
2.1;21;50
2.1;22;60
2.1;23;54
2.1;24;40
2.1;25;39
2.1;27;58
2.1;29;78
2.1;31;75
2.1;33;60
2.1;35;58
2.1;38;65
2.1;41;60
2.1;44;61
2.1;47;60
2.1;50;55
2.1;54;80
2.2;1;95
2.2;2;142
2.2;3;490
2.2;4;395
2.2;5;315
2.2;6;280
2.2;7;222
2.2;8;260
2.2;9;221
2.2;10;259
2.2;11;256
2.2;12;255
2.2;13;225
2.2;14;125
2.2;15;59
2.2;16;66
2.2;17;55
2.2;18;67
2.2;19;58
2.2;20;57
2.2;21;50
2.2;22;62
2.2;23;45
2.2;24;37
2.2;25;35
2.2;27;60
2.2;29;74
2.2;31;66
2.2;33;50
2.2;35;44
2.2;38;59
2.2;41;54
2.2;44;59
2.2;47;60
2.2;50;55
2.2;54;65
2.3;1;65
2.3;2;100
2.3;3;425
2.3;4;380
2.3;5;290
2.3;6;223
2.3;7;152
2.3;8;160
2.3;9;135
2.3;10;158
2.3;11;162
2.3;12;182
2.3;13;187
2.3;14;200
2.3;15;153
2.3;16;143
2.3;17;82
2.3;18;68
2.3;19;42
2.3;20;43
2.3;21;30
2.3;22;38
2.3;23;25
2.3;24;44
2.3;25;27
2.3;27;40
2.3;29;66
2.3;31;72
2.3;33;35
2.3;35;37
2.3;38;41
2.3;41;31
2.3;44;39
2.3;47;32
2.3;50;30
2.3;54;35
3.1;1;290
3.1;2;315
3.1;3;340
3.1;4;260
3.1;5;295
3.1;6;275
3.1;7;213
3.1;8;222
3.1;9;132
3.1;10;120
3.1;11;113
3.1;12;102
3.1;13;110
3.1;14;135
3.1;15;130
3.1;16;126
3.1;17;58
3.1;18;59
3.1;19;58
3.1;20;58
3.1;21;35
3.1;22;50
3.1;23;43
3.1;24;50
3.1;25;43
3.1;27;68
3.1;29;71
3.1;31;62
3.1;33;58
3.1;35;52
3.1;38;62
3.1;41;62
3.1;44;72
3.1;47;60
3.1;50;55
3.1;54;55
3.2;1;290
3.2;2;319
3.2;3;325
3.2;4;260
3.2;5;280
3.2;6;273
3.2;7;212
3.2;8;215
3.2;9;140
3.2;10;120
