bottle,description,sub.vs,inoc.mass
1_1,"Slaughterhouse waste",7.295763544,20.17100398
1_2,"Slaughterhouse waste",7.352319851,20.35731838
1_3,"Slaughterhouse waste",7.908456865,20.25263092
2_1,"Jaka bov",6.380916997,20.87855943
2_2,"Jaka bov",6.345055718,21.0088697
2_3,"Jaka bov",6.610429186,20.9997187
3_1,"Pig manure",3.863198281,12.49660792
3_2,"Pig manure",4.010325945,12.60275954
3_3,"Pig manure",3.947502201,12.65693347
4_1,Cellulose,7.4195,19.91331177
4_2,Cellulose,7.4195,18.39717381
4_3,Cellulose,7.4195,18.40193233
5_1,Inoculum,0,18.72587779
5_2,Inoculum,0,18.74747416
5_3,Inoculum,0,18.88620334
