"Bottle ID","Date and time","Cumulative time (d)","Biogas volume (mL)","Normalised CH4 content (mol/mol)"
id,date.time,time.d,vol.ml,xCH4
D,"2016/08/03 11:14:00",0.9438,103,
E,"2016/08/03 11:16:00",0.9451,106,
F,"2016/08/03 11:19:00",0.9472,107,
D,"2016/08/05 10:20:00",2.906,192,0.6983
E,"2016/08/05 10:24:00",2.909,181,0.6817
F,"2016/08/05 10:26:00",2.91,203,0.6869
D,"2016/08/08 09:51:00",5.886,141,0.68
E,"2016/08/08 09:54:00",5.888,133,0.68
F,"2016/08/08 09:56:00",5.89,140,0.68
D,"2016/08/12 12:37:00",10,112,0.6646
E,"2016/08/12 12:40:00",10,111,0.6644
F,"2016/08/12 12:43:00",10.01,110,0.6632
D,"2016/08/25 14:54:00",23.1,200,0.6946
E,"2016/08/25 14:59:00",23.1,190,0.6871
F,"2016/08/25 15:02:00",23.1,200,0.6829
D,"2016/09/05 12:51:00",34.01,109,0.6626
E,"2016/09/05 12:53:00",34.01,110,0.6556
F,"2016/09/05 12:55:00",34.01,112,0.6527
D,"2016/09/29 08:39:00",57.84,146,0.6651
E,"2016/09/29 08:42:00",57.84,136,0.66
F,"2016/09/29 08:44:00",57.84,138,
