"Bottle ID","Date and time","Cumulative time (d)","Biogas volume (mL)",
id,date.time,time.d,vol.ml,cvol.ml
D,"2016/08/03 11:14:00",0.9438,103,103
E,"2016/08/03 11:16:00",0.9451,106,106
F,"2016/08/03 11:19:00",0.9472,107,107
D,"2016/08/05 10:20:00",2.906,192,295
E,"2016/08/05 10:24:00",2.909,181,287
F,"2016/08/05 10:26:00",2.91,203,310
D,"2016/08/08 09:51:00",5.886,141,436
E,"2016/08/08 09:54:00",5.888,133,420
F,"2016/08/08 09:56:00",5.89,140,450
D,"2016/08/12 12:37:00",10,112,548
E,"2016/08/12 12:40:00",10,111,531
F,"2016/08/12 12:43:00",10.01,110,560
D,"2016/08/25 14:54:00",23.1,200,748
E,"2016/08/25 14:59:00",23.1,190,721
F,"2016/08/25 15:02:00",23.1,200,760
D,"2016/09/05 12:51:00",34.01,109,857
E,"2016/09/05 12:53:00",34.01,110,831
F,"2016/09/05 12:55:00",34.01,112,872
D,"2016/09/29 08:39:00",57.84,146,1003
E,"2016/09/29 08:42:00",57.84,136,967
F,"2016/09/29 08:44:00",57.84,138,1010
