"id","date.time","days","mass","when"
"2_1",2014-06-05 13:30:00,0,1200.6,"start"
"2_2",2014-06-05 13:30:00,0,1217.7,"start"
"2_3",2014-06-05 13:30:00,0,1194.9,"start"
"2_4",2014-06-05 13:30:00,0,1194.5,"start"
"2_5",2014-06-05 13:30:00,0,1196.3,"start"
"2_6",2014-06-05 13:30:00,0,1207.7,"start"
"2_10",2014-06-05 13:30:00,0,1192.7,"start"
"2_11",2014-06-05 13:30:00,0,1194.4,"start"
"2_12",2014-06-05 13:30:00,0,1192.2,"start"
"2_1",2014-10-06 10:45:00,122.89,1196.1,"end"
"2_2",2014-10-06 10:45:00,122.89,1213,"end"
"2_3",2014-10-06 10:45:00,122.89,1190.3,"end"
"2_4",2014-10-06 10:45:00,122.89,1188.2,"end"
"2_5",2014-10-06 10:45:00,122.89,1189.8,"end"
"2_6",2014-10-06 10:45:00,122.89,1201,"end"
"2_10",2014-10-06 10:45:00,122.89,1187.8,"end"
"2_11",2014-10-06 10:45:00,122.89,1189.6,"end"
"2_12",2014-10-06 10:45:00,122.89,1187.4,"end"
