"time.d","1","2","3","4","5","6","7","8","9","10","11","12"
0,0,0,0,0,0,0,0,0,0,0,0,0
1,70.6,68.5,69.7,78.6,78.1,85.9,383.8,390.7,399.3,249.5,277.8,280.6
2,100.5,97.6,100.3,357,369,384.4,902.4,927.4,927,521.1,561.8,562.9
3,125,120.8,125.9,846,895.2,902.4,1517.3,1563,1557.6,830.6,876.9,876
4,144,138.3,144.5,1291.5,1323.7,1373,1911.5,1940,1955.3,1112.7,1160.3,1150
5,158.6,152.1,158.9,1513.2,1542.1,1600.1,2044.9,2080.7,2082,1348.9,1413,1388.9
6,172.3,164.5,171.2,1676.6,1696.8,1749.3,2124.1,2163.1,2158.5,1552.4,1629.4,1597.8
7,181.7,173,181.3,1766.4,1785.4,1820.6,2180.4,2223.4,2214.7,1736,1820.6,1781.5
8,191.5,181.2,189.5,1815.9,1832.6,1861.4,2224.2,2270.8,2259.8,1902.9,1991.7,1951.1
9,201.9,189.6,199,1844,1859.2,1884.7,2263.8,2311.4,2301.6,2044.3,2136.4,2093.6
10,209.5,196.7,206.5,1864.7,1880.3,1904.2,2300.9,2350.1,2340.1,2167.8,2258.9,2217.8
11,215.7,202,214.1,1881.4,1896.1,1919.1,2336.7,2385.1,2376.5,2274,2360.6,2324.2
12,224.5,207.4,221.5,1897.1,1912.1,1933.4,2371.4,2421.2,2416.6,2366.3,2448.5,2417
13,232.2,213,227.5,1911.8,1926.4,1945.4,2404.6,2453.2,2449.3,2444.7,2522.9,2494.2
14,235.6,215.6,230.4,1920.6,1935.2,1951.8,2430.1,2478.5,2474.1,2509.4,2581.6,2558.5
15,239,218.2,233.3,1927.9,1943.1,1957.5,2450.9,2497.6,2494.3,2565.7,2632.6,2613.1
16,246.3,222.1,237.6,1936.7,1956.1,1965.5,2472.2,2520.1,2516.6,2618.1,2680.8,2665.4
17,249.3,228,242.2,1946.6,1965.9,1973.1,2492.7,2540.1,2536.7,2664.9,2724.8,2708.9
18,252.1,232,244.7,1955.1,1972.1,1978.7,2508.8,2555.4,2553.4,2705.2,2760.6,2747.1
19,254.3,235.3,247.2,1961.8,1982.1,1984.1,2527.2,2574.1,2572.3,2744.6,2796.7,2784.2
20,255.1,237,249.5,1967.6,1987.8,1989.1,2540.3,2585.3,2585.7,2775,2825,2813.1
21,255.9,238.8,250.7,1972.1,1992.8,1993,2552.3,2598.9,2597.5,2805.5,2854.6,2842
22,256.8,240.6,251.9,1977.2,1997.9,1996.8,2562.7,2607,2608.8,2831.3,2877.7,2866
23,257.6,242.4,253.2,1983.3,2005,1999.1,2574.1,2616.5,2617.9,2856.5,2900.5,2890.5
24,258.4,243.9,254.4,1986.2,2008.8,2001.4,2584.7,2624.3,2626.5,2878.3,2920.5,2911.3
25,259.2,245.4,255.7,1989.1,2012.3,2003.7,2590.7,2630.1,2632.7,2896.2,2938.5,2929.4
26,260.1,246.9,256.9,1992.1,2017.1,2006.4,2602.7,2642.1,2645.6,2919.1,2961.5,2953.8
27,260.9,248.4,258.9,1996,2023.1,2009.9,2611.7,2649.9,2653.7,2937.1,2979.8,2972.6
28,261.8,249.8,260.9,2000,2029.9,2013.4,2618.8,2655.9,2660.4,2952.9,2995.6,2988.2
29,264.3,249.8,262.9,2003,2034.9,2016.2,2626.8,2661.7,2668.8,2970.2,3012.1,3002.9
30,266.8,249.8,264.5,2006,2040,2018.9,2632.3,2667.2,2675.9,2984.6,3027.7,3017.5
31,269.3,249.8,264.5,2008.6,2046.6,2021.5,2642,2672.4,2682.6,3000.8,3042.5,3031.6
32,269.3,249.8,264.5,2010.2,2046.8,2021.5,2644.2,2673.7,2684.4,3012.6,3052.8,3042.1
33,269.3,249.8,264.5,2011.8,2046.8,2021.5,2646.4,2675.1,2686.1,3023.4,3062,3050.9
34,269.3,249.8,264.5,2013.4,2046.8,2021.5,2648.6,2676.5,2687.9,3033.1,3071.2,3058.7
35,269.3,249.8,264.5,2015,2046.8,2021.5,2651.3,2677.8,2689.6,3044,3079.8,3066.6
36,269.3,249.8,264.5,2016.5,2046.8,2021.5,2655.6,2679.2,2691.4,3056.4,3089.7,3075
37,269.3,249.8,264.5,2018,2046.8,2021.5,2659.6,2680.6,2693.7,3067.7,3099.5,3086.4
38,269.3,249.8,264.5,2019.5,2046.8,2021.5,2663.1,2680.6,2696,3078.1,3106.8,3091.3
39,269.3,249.8,264.5,2021,2046.8,2021.5,2666.5,2680.6,2698.4,3088.9,3114.7,3096.7
40,269.3,249.8,264.5,2022.5,2046.8,2021.5,2669.7,2680.6,2699.2,3099.3,3122,3103.2
41,269.3,249.8,264.5,2024,2046.8,2021.5,2673,2680.6,2699.2,3109.6,3129.1,3108.6
42,269.3,249.8,264.5,2024.9,2046.8,2021.5,2675.2,2680.6,2699.2,3121.9,3137.8,3115.5
43,269.3,249.8,264.5,2024.9,2046.8,2021.5,2675.2,2680.6,2699.2,3123.9,3140.9,3119.6
