"bottle","date","time","days","xCH4"
1,"12-06-2014","14:00",7.021,0.710473093302882
2,"12-06-2014","14:00",7.021,0.706700876267323
3,"12-06-2014","14:00",7.021,0.692267494360728
4,"12-06-2014","14:00",7.021,0.702183256767062
5,"12-06-2014","14:00",7.021,0.682982136826245
6,"12-06-2014","14:00",7.021,0.679686846750371
7,"12-06-2014","14:00",7.021,0.564685459645082
8,"12-06-2014","14:00",7.021,0.568220331475516
9,"12-06-2014","14:00",7.021,0.574677005658287
10,"12-06-2014","14:00",7.021,0.711511863444847
11,"12-06-2014","14:00",7.021,0.706872108570499
12,"12-06-2014","14:00",7.021,0.70053687285793
13,"12-06-2014","14:00",6.917,0.727057462632144
14,"12-06-2014","14:00",6.917,0.7351087301899
15,"12-06-2014","14:00",6.917,0.727294020249786
16,"12-06-2014","14:00",6.917,0.529362369066815
17,"12-06-2014","14:00",6.917,0.469562015115845
18,"12-06-2014","14:00",6.917,0.444867729194955
19,"12-06-2014","14:00",6.917,0.352567800994724
20,"12-06-2014","14:00",6.917,0.0237933671063054
21,"12-06-2014","14:00",6.917,0.290098765186213
22,"12-06-2014","14:00",6.917,0.700981953069952
23,"12-06-2014","14:00",6.917,0.704091908657428
24,"12-06-2014","14:00",6.917,0.722410205339933
1,"19-06-2014","14:00",14.02,0.702493670931763
2,"19-06-2014","14:00",14.02,0.6827098829277
3,"19-06-2014","14:00",14.02,0.675915060282479
4,"19-06-2014","14:00",14.02,0.674059104802466
5,"19-06-2014","14:00",14.02,0.660123010596345
6,"19-06-2014","14:00",14.02,0.662234673149613
7,"19-06-2014","14:00",14.02,0.66769591452393
8,"19-06-2014","14:00",14.02,0.655845193236195
9,"19-06-2014","14:00",14.02,0.680054485965974
10,"19-06-2014","14:00",14.02,0.699446884192201
11,"19-06-2014","14:00",14.02,0.694537854849358
12,"19-06-2014","14:00",14.02,0.693833494197011
13,"19-06-2014","14:00",13.92,0.745423869316765
14,"19-06-2014","14:00",13.92,0.743509917767658
15,"19-06-2014","14:00",13.92,0.737196170144317
16,"19-06-2014","14:00",13.92,0.45388425623191
17,"19-06-2014","14:00",13.92,0.475732202239079
18,"19-06-2014","14:00",13.92,0.483820364144638
19,"19-06-2014","14:00",13.92,0.360823559289816
20,"19-06-2014","14:00",13.92,0.409403111672695
21,"19-06-2014","14:00",13.92,0.461830653874566
22,"19-06-2014","14:00",13.92,0.747831795989974
23,"19-06-2014","14:00",13.92,0.769837011460846
24,"19-06-2014","14:00",13.92,0.729640480070346
1,"26-06-2014","11:00",20.9,0.665991923209349
2,"26-06-2014","11:00",20.9,0.657750200429899
3,"26-06-2014","11:00",20.9,0.650581051961404
4,"26-06-2014","11:00",20.9,0.632786869850839
5,"26-06-2014","11:00",20.9,0.628104914281455
6,"26-06-2014","11:00",20.9,0.62487922416877
7,"26-06-2014","11:00",20.9,0.614455221929982
8,"26-06-2014","11:00",20.9,0.610430074873827
9,"26-06-2014","11:00",20.9,0.615187195961731
10,"26-06-2014","11:00",20.9,0.664399850905123
11,"26-06-2014","11:00",20.9,0.663547270512139
12,"26-06-2014","11:00",20.9,0.666399642079253
13,"26-06-2014","11:00",20.79,0.727979021933774
14,"26-06-2014","11:00",20.79,0.708241095667305
15,"26-06-2014","11:00",20.79,0.704633465503509
16,"26-06-2014","11:00",20.79,0.652704443914608
17,"26-06-2014","11:00",20.79,0.676402628009214
18,"26-06-2014","11:00",20.79,0.690817546163757
19,"26-06-2014","11:00",20.79,0.628353815960313
20,"26-06-2014","11:00",20.79,0.67619790613114
21,"26-06-2014","11:00",20.79,0.703378092940779
22,"26-06-2014","11:00",20.79,0.697782454214476
23,"26-06-2014","11:00",20.79,0.715470271951903
24,"26-06-2014","11:00",20.79,0.671510638429537
1,"01-07-2014","14:00",26.02,0.563846343661016
2,"01-07-2014","14:00",26.02,0.542308093145705
3,"01-07-2014","14:00",26.02,0.563510882830222
4,"01-07-2014","14:00",26.02,0.781023749884639
5,"01-07-2014","14:00",26.02,0.81931497105926
6,"01-07-2014","14:00",26.02,0.802095471181126
7,"01-07-2014","14:00",26.02,0.747851685788435
8,"01-07-2014","14:00",26.02,0.749817331553846
9,"01-07-2014","14:00",26.02,0.765777827277843
10,"01-07-2014","14:00",26.02,0.446330743845061
11,"01-07-2014","14:00",26.02,0.468777479368721
12,"01-07-2014","14:00",26.02,0.460633883505022
13,"01-07-2014","14:00",25.92,0.675835385960993
14,"01-07-2014","14:00",25.92,0.673404080008335
15,"01-07-2014","14:00",25.92,0.680281660697672
16,"01-07-2014","14:00",25.92,0.68870813026372
17,"01-07-2014","14:00",25.92,0.669285567760654
18,"01-07-2014","14:00",25.92,0.663143071232413
