"date","time","days","bottle","mass"
"05-06-2014","13:30",0,1,1200.6
"05-06-2014","13:30",0,2,1217.7
"05-06-2014","13:30",0,3,1194.9
"05-06-2014","13:30",0,4,1194.5
"05-06-2014","13:30",0,5,1196.3
"05-06-2014","13:30",0,6,1207.7
"05-06-2014","13:30",0,7,1194.7
"05-06-2014","13:30",0,8,1195.4
"05-06-2014","13:30",0,9,1194.7
"05-06-2014","13:30",0,10,1192.7
"05-06-2014","13:30",0,11,1194.4
"05-06-2014","13:30",0,12,1192.2
"05-06-2014","16:00",0,13,571.27
"05-06-2014","16:00",0,14,572.85
"05-06-2014","16:00",0,15,576.56
"05-06-2014","16:00",0,16,572.14
"05-06-2014","16:00",0,17,570.6
"05-06-2014","16:00",0,18,575.63
"05-06-2014","16:00",0,19,572.4
"05-06-2014","16:00",0,20,572.53
"05-06-2014","16:00",0,21,571.52
"05-06-2014","16:00",0,22,569.88
"05-06-2014","16:00",0,23,572.53
"05-06-2014","16:00",0,24,571.94
"06-10-2014","10:45",122.9,1,1196.1
"06-10-2014","10:45",122.9,2,1213
"06-10-2014","10:45",122.9,3,1190.3
"06-10-2014","10:45",122.9,4,1188.2
"06-10-2014","10:45",122.9,5,1189.8
"06-10-2014","10:45",122.9,6,1201
"06-10-2014","10:45",122.9,7,1183.6
"06-10-2014","10:45",122.9,8,1184.2
"06-10-2014","10:45",122.9,9,1183.3
"06-10-2014","10:45",122.9,10,1187.8
"06-10-2014","10:45",122.9,11,1189.6
"06-10-2014","10:45",122.9,12,1187.4
"06-10-2014","10:45",122.8,13,565.02
"06-10-2014","10:45",122.8,14,565.87
"06-10-2014","10:45",122.8,15,570.1
"06-10-2014","10:45",122.8,16,565.31
"06-10-2014","10:45",122.8,17,564.13
"06-10-2014","10:45",122.8,18,568.83
"06-10-2014","10:45",122.8,19,566.79
"06-10-2014","10:45",122.8,20,566.51
"06-10-2014","10:45",122.8,21,565.61
"06-10-2014","10:45",122.8,22,565.25
"06-10-2014","10:45",122.8,23,567.19
"06-10-2014","10:45",122.8,24,567.57
