"bottle","tare","descrip","start"
1,542.82,"digestate 2",2014-06-05 13:30:00
2,537.91,"digestate 2",2014-06-05 13:30:00
3,540.22,"digestate 2",2014-06-05 13:30:00
4,539.28,"solids",2014-06-05 13:30:00
5,543.74,"solids",2014-06-05 13:30:00
6,541.94,"solids",2014-06-05 13:30:00
7,538.02,"cellulose",2014-06-05 13:30:00
8,542.38,"cellulose",2014-06-05 13:30:00
9,535.42,"cellulose",2014-06-05 13:30:00
10,540.63,"inoculum",2014-06-05 13:30:00
11,442.03,"inoculum",2014-06-05 13:30:00
12,541.54,"inoculum",2014-06-05 13:30:00
13,321.1,"digestate 1 + waste mix",2014-06-05 16:00:00
14,321.2,"digestate 1 + waste mix",2014-06-05 16:00:00
15,321.83,"digestate 1 + waste mix",2014-06-05 16:00:00
16,322.05,"solids + waste mix",2014-06-05 16:00:00
17,320.63,"solids + waste mix",2014-06-05 16:00:00
18,321.3,"solids + waste mix",2014-06-05 16:00:00
19,320.78,"stored solids + waste mix",2014-06-05 16:00:00
20,321.87,"stored solids + waste mix",2014-06-05 16:00:00
21,321.57,"stored solids + waste mix",2014-06-05 16:00:00
22,320.75,"digestate 2 + stored solids + waste mix",2014-06-05 16:00:00
23,320.88,"digestate 2 + stored solids + waste mix",2014-06-05 16:00:00
24,321.27,"digestate 2 + stored solids + waste mix",2014-06-05 16:00:00
