"date","time","days","bottle","vol"
"07-06-2014","13:00",1.875,13,550
"07-06-2014","13:00",1.875,14,570
"07-06-2014","13:00",1.875,15,580
"07-06-2014","13:00",1.875,16,195
"07-06-2014","13:00",1.875,17,185
"07-06-2014","13:00",1.875,18,175
"07-06-2014","13:00",1.875,19,120
"07-06-2014","13:00",1.875,20,120
"07-06-2014","13:00",1.875,21,118
"07-06-2014","13:00",1.875,22,395
"07-06-2014","13:00",1.875,23,405
"07-06-2014","13:00",1.875,24,402
"07-06-2014","13:00",1.979,1,393
"07-06-2014","13:00",1.979,2,400
"07-06-2014","13:00",1.979,3,345
"07-06-2014","13:00",1.979,4,445
"07-06-2014","13:00",1.979,5,490
"07-06-2014","13:00",1.979,6,385
"07-06-2014","13:00",1.979,7,560
"07-06-2014","13:00",1.979,8,600
"07-06-2014","13:00",1.979,9,620
"07-06-2014","13:00",1.979,10,290
"07-06-2014","13:00",1.979,11,293
"07-06-2014","13:00",1.979,12,280
"08-06-2014","13:00",2.875,13,370
"08-06-2014","13:00",2.875,14,366
"08-06-2014","13:00",2.875,15,380
"08-06-2014","13:00",2.875,16,90
"08-06-2014","13:00",2.875,17,95
"08-06-2014","13:00",2.875,18,95
"08-06-2014","13:00",2.875,19,60
"08-06-2014","13:00",2.875,20,60
"08-06-2014","13:00",2.875,21,61
"08-06-2014","13:00",2.875,22,261
"08-06-2014","13:00",2.875,23,281
"08-06-2014","13:00",2.875,24,265
"08-06-2014","13:00",2.979,1,260
"08-06-2014","13:00",2.979,2,262
"08-06-2014","13:00",2.979,3,275
"08-06-2014","13:00",2.979,4,250
"08-06-2014","13:00",2.979,5,266
"08-06-2014","13:00",2.979,6,270
"08-06-2014","13:00",2.979,7,750
"08-06-2014","13:00",2.979,8,795
"08-06-2014","13:00",2.979,9,785
"08-06-2014","13:00",2.979,10,165
"08-06-2014","13:00",2.979,11,160
"08-06-2014","13:00",2.979,12,165
"09-06-2014","13:00",3.875,13,370
"09-06-2014","13:00",3.875,14,350
"09-06-2014","13:00",3.875,15,345
"09-06-2014","13:00",3.875,22,233
"09-06-2014","13:00",3.875,23,250
"09-06-2014","13:00",3.875,24,246
"09-06-2014","13:00",3.979,1,245
"09-06-2014","13:00",3.979,2,250
"09-06-2014","13:00",3.979,3,250
"09-06-2014","13:00",3.979,4,220
"09-06-2014","13:00",3.979,5,255
"09-06-2014","13:00",3.979,6,260
"09-06-2014","13:00",3.979,7,840
"09-06-2014","13:00",3.979,8,840
"09-06-2014","13:00",3.979,9,780
"09-06-2014","13:00",3.979,10,150
"09-06-2014","13:00",3.979,11,150
"09-06-2014","13:00",3.979,12,158
"10-06-2014","13:00",4.875,13,343
"10-06-2014","13:00",4.875,14,341
"10-06-2014","13:00",4.875,15,341
"10-06-2014","13:00",4.875,16,100
"10-06-2014","13:00",4.875,17,110
"10-06-2014","13:00",4.875,18,102
"10-06-2014","13:00",4.875,19,80
"10-06-2014","13:00",4.875,20,73
"10-06-2014","13:00",4.875,21,70
"10-06-2014","13:00",4.875,22,252
"10-06-2014","13:00",4.875,23,261
"10-06-2014","13:00",4.875,24,255
"10-06-2014","13:00",4.979,1,225
"10-06-2014","13:00",4.979,2,235
"10-06-2014","13:00",4.979,3,225
"10-06-2014","13:00",4.979,4,225
"10-06-2014","13:00",4.979,5,266
"10-06-2014","13:00",4.979,6,275
"10-06-2014","13:00",4.979,7,720
"10-06-2014","13:00",4.979,8,760
"10-06-2014","13:00",4.979,9,780
"10-06-2014","13:00",4.979,10,175
"10-06-2014","13:00",4.979,11,165
"10-06-2014","13:00",4.979,12,170
"11-06-2014","13:00",5.875,13,345
"11-06-2014","13:00",5.875,14,350
"11-06-2014","13:00",5.875,15,345
"11-06-2014","13:00",5.875,22,252
"11-06-2014","13:00",5.875,23,272
"11-06-2014","13:00",5.875,24,250
"11-06-2014","13:00",5.979,1,200
"11-06-2014","13:00",5.979,2,200
"11-06-2014","13:00",5.979,3,200
"11-06-2014","13:00",5.979,4,220
"11-06-2014","13:00",5.979,5,260
"11-06-2014","13:00",5.979,6,260
"11-06-2014","13:00",5.979,7,580
"11-06-2014","13:00",5.979,8,567
"11-06-2014","13:00",5.979,9,620
"11-06-2014","13:00",5.979,10,165
"11-06-2014","13:00",5.979,11,183
"11-06-2014","13:00",5.979,12,180
"12-06-2014","14:00",6.917,13,372
"12-06-2014","14:00",6.917,14,370
"12-06-2014","14:00",6.917,15,380
"12-06-2014","14:00",6.917,16,60
"12-06-2014","14:00",6.917,17,75
"12-06-2014","14:00",6.917,18,70
"12-06-2014","14:00",6.917,19,45
"12-06-2014","14:00",6.917,20,45
"12-06-2014","14:00",6.917,21,45
"12-06-2014","14:00",6.917,22,280
"12-06-2014","14:00",6.917,23,285
"12-06-2014","14:00",6.917,24,260
"12-06-2014","14:00",7.021,1,175
"12-06-2014","14:00",7.021,2,180
"12-06-2014","14:00",7.021,3,180
"12-06-2014","14:00",7.021,4,241
"12-06-2014","14:00",7.021,5,247
"12-06-2014","14:00",7.021,6,245
"12-06-2014","14:00",7.021,7,620
"12-06-2014","14:00",7.021,8,615
"12-06-2014","14:00",7.021,9,560
"12-06-2014","14:00",7.021,10,205
"12-06-2014","14:00",7.021,11,195
"12-06-2014","14:00",7.021,12,200
"14-06-2014","14:00",8.917,13,610
"14-06-2014","14:00",8.917,14,620
"14-06-2014","14:00",8.917,15,640
"14-06-2014","14:00",8.917,22,470
"14-06-2014","14:00",8.917,23,530
"14-06-2014","14:00",8.917,24,400
"14-06-2014","14:00",9.021,1,220
"14-06-2014","14:00",9.021,2,230
"14-06-2014","14:00",9.021,3,232
"14-06-2014","14:00",9.021,4,320
"14-06-2014","14:00",9.021,5,330
"14-06-2014","14:00",9.021,6,330
"14-06-2014","14:00",9.021,7,840
"14-06-2014","14:00",9.021,8,780
"14-06-2014","14:00",9.021,9,790
"14-06-2014","14:00",9.021,10,245
"14-06-2014","14:00",9.021,11,260
"14-06-2014","14:00",9.021,12,266
"16-06-2014","14:00",10.92,13,520
"16-06-2014","14:00",10.92,14,570
"16-06-2014","14:00",10.92,15,600
"16-06-2014","14:00",10.92,16,70
"16-06-2014","14:00",10.92,17,81
"16-06-2014","14:00",10.92,18,85
"16-06-2014","14:00",10.92,19,60
"16-06-2014","14:00",10.92,20,65
"16-06-2014","14:00",10.92,21,80
"16-06-2014","14:00",10.92,22,445
"16-06-2014","14:00",10.92,23,530
"16-06-2014","14:00",10.92,24,270
"16-06-2014","14:00",11.02,1,180
"16-06-2014","14:00",11.02,2,180
"16-06-2014","14:00",11.02,3,180
"16-06-2014","14:00",11.02,4,280
"16-06-2014","14:00",11.02,5,280
"16-06-2014","14:00",11.02,6,300
"16-06-2014","14:00",11.02,7,640
"16-06-2014","14:00",11.02,8,695
"16-06-2014","14:00",11.02,9,650
"16-06-2014","14:00",11.02,10,233
"16-06-2014","14:00",11.02,11,240
"16-06-2014","14:00",11.02,12,207
"19-06-2014","14:00",13.92,13,495
"19-06-2014","14:00",13.92,14,460
"19-06-2014","14:00",13.92,15,490
"19-06-2014","14:00",13.92,16,65
"19-06-2014","14:00",13.92,17,65
"19-06-2014","14:00",13.92,18,65
"19-06-2014","14:00",13.92,19,60
