"id","time.d","pres","mass.init","mass.final","xCH4","xCO2","xCH4n"
1,0,0,187.41675,187.41675,0,0,0
1,0.627083333296469,368,187.4149,187.3814,0.101,0.1004,0.501489572989077
1,1.60277777779993,286,187.3823,187.3568,0.2253,0.161,0.583225472430753
1,1.99722222219862,134,187.3538,187.3447,0.2485,0.18,0.579929988331389
1,2.71527777779556,142,187.3406,187.3287,0.3246,0.2062,0.611529766390354
1,3.6180555555984,168,187.3295,187.315,0.3674,0.2222,0.623134328358209
1,4.71388888889487,145,187.3158,187.3038,0.413,0.2323,0.640012397334573
1,5.61666666669771,142,187.3025,187.2938,0.4442,0.2426,0.646767617938264
1,7.64999999999418,192,187.2949,187.2792,0.475,0.2475,0.657439446366782
1,9.625,173,187.2751,187.2614,0.5064,0.2606,0.660234680573664
1,12.6458333332994,204,187.2599,187.2441,0.5388,0.2707,0.665596046942557
1,15.6618055555955,160,187.2451,187.2339,0.5682,0.2772,0.672107877927608
1,19.6458333332994,218,187.2347,187.2171,0.5605,0.2714,0.673758865248227
1,24.0291666666963,196,187.2113,187.1971,0.591,0.2894,0.671285779191277
1,29.6076388888978,194,187.1973,187.1816,0.6052,0.2968,0.670953436807095
1,40.65625,306,187.1812,187.1565,0.6117,0.2888,0.67928928373126
1,61.9652777777956,398,187.1525,187.1214,0.6245,0.2866,0.685435188234003
1,83.6624999999986,316,187.1159,187.0899,0.6449,0.3126,0.673524804177546
2,0,0,184.3076,184.3076,0,0,0
2,0.627083333296469,368,184.3063,184.2736,0.0968,0.1007,0.490126582278481
2,1.60277777779993,278,184.2743,184.2518,0.2243,0.1586,0.585792635152781
2,1.99722222219862,143,184.2471,184.2347,0.2598,0.1812,0.589115646258503
2,2.71527777779556,143,184.2328,184.2203,0.3177,0.2013,0.612138728323699
2,3.6180555555984,164,184.2208,184.2074,0.38,0.2217,0.631543958783447
2,4.71388888889487,156,184.2078,184.1943,0.4115,0.2307,0.640766116474618
2,5.61666666669771,138,184.1956,184.1844,0.4472,0.2439,0.647084358269426
2,7.64999999999418,198,184.1864,184.1705,0.4828,0.2502,0.658663028649386
2,9.625,171,184.167,184.1534,0.5197,0.2663,0.661195928753181
2,12.6458333332994,186,184.1516,184.138,0.5286,0.2671,0.664320723890914
2,15.6618055555955,162,184.1379,184.1251,0.5594,0.2725,0.672436590936411
2,19.6458333332994,216,184.1275,184.11,0.5699,0.2756,0.674039030159669
