"exp","bottle","date.time","time","pres","pres.resid"
"TSR1",1,"2016-04-28 10:30:00.00",1.9,153203.4,101628.975
"TSR1",2,"2016-04-28 10:30:00.00",1.9,152088.825,101628.975
"TSR1",3,"2016-04-28 10:30:00.00",1.9,142057.65,101628.975
"TSR1",4,"2016-04-28 10:30:00.00",1.9,142158.975,101628.975
"TSR1",5,"2016-04-28 10:30:00.00",1.9,138713.925,101628.975
"TSR1",6,"2016-04-28 10:30:00.00",1.9,139524.525,101628.975
"TSR1",7,"2016-04-28 10:30:00.00",1.9,138916.575,101628.975
"TSR1",8,"2016-04-28 10:30:00.00",1.9,134559.6,101628.975
"TSR1",9,"2016-04-28 10:30:00.00",1.9,124123.125,101628.975
"TSR1",10,"2016-04-28 10:30:00.00",1.9,125643,101628.975
"TSR1",11,"2016-04-28 10:30:00.00",1.9,134660.925,101628.975
"TSR1",12,"2016-04-28 10:30:00.00",1.9,134863.575,101628.975
"TSR1",1,"2016-04-29 16:00:00.00",3.12,171948.525,101831.625
"TSR1",2,"2016-04-29 16:00:00.00",3.12,169415.4,101831.625
"TSR1",3,"2016-04-29 16:00:00.00",3.12,145097.4,101831.625
"TSR1",4,"2016-04-29 16:00:00.00",3.12,146110.65,101831.625
"TSR1",5,"2016-04-29 16:00:00.00",3.12,131114.55,101831.625
"TSR1",6,"2016-04-29 16:00:00.00",3.12,129797.325,101831.625
"TSR1",7,"2016-04-29 16:00:00.00",3.12,136788.75,101831.625
"TSR1",8,"2016-04-29 16:00:00.00",3.12,129594.675,101831.625
"TSR1",9,"2016-04-29 16:00:00.00",3.12,108417.75,101831.625
"TSR1",10,"2016-04-29 16:00:00.00",3.12,110038.95,101831.625
"TSR1",11,"2016-04-29 16:00:00.00",3.12,136484.775,101831.625
"TSR1",12,"2016-04-29 16:00:00.00",3.12,123819.15,101831.625
"TSR1",1,"2016-04-30 13:20:00.00",4.01,140740.425,101831.625
"TSR1",2,"2016-04-30 13:20:00.00",4.01,139321.875,101831.625
"TSR1",3,"2016-04-30 13:20:00.00",4.01,132229.125,101831.625
"TSR1",4,"2016-04-30 13:20:00.00",4.01,132837.075,101831.625
"TSR1",5,"2016-04-30 13:20:00.00",4.01,130911.9,101831.625
"TSR1",6,"2016-04-30 13:20:00.00",4.01,134154.3,101831.625
"TSR1",7,"2016-04-30 13:20:00.00",4.01,119766.15,101831.625
"TSR1",8,"2016-04-30 13:20:00.00",4.01,123920.475,101831.625
"TSR1",9,"2016-04-30 13:20:00.00",4.01,103858.125,101831.625
"TSR1",10,"2016-04-30 13:20:00.00",4.01,104871.375,101831.625
"TSR1",11,"2016-04-30 13:20:00.00",4.01,115003.875,101831.625
"TSR1",12,"2016-04-30 13:20:00.00",4.01,127872.15,101831.625
"TSR1",1,"2016-05-02 11:00:00.00",5.92,168706.125,102135.6
"TSR1",2,"2016-05-02 11:00:00.00",5.92,168706.125,102135.6
"TSR1",3,"2016-05-02 11:00:00.00",5.92,154925.925,102135.6
"TSR1",4,"2016-05-02 11:00:00.00",5.92,155229.9,102135.6
"TSR1",5,"2016-05-02 11:00:00.00",5.92,149049.075,102135.6
"TSR1",6,"2016-05-02 11:00:00.00",5.92,144084.15,102135.6
"TSR1",7,"2016-05-02 11:00:00.00",5.92,134458.275,102135.6
"TSR1",8,"2016-05-02 11:00:00.00",5.92,146718.6,102135.6
"TSR1",9,"2016-05-02 11:00:00.00",5.92,106188.6,102135.6
"TSR1",10,"2016-05-02 11:00:00.00",5.92,106593.9,102135.6
"TSR1",11,"2016-05-02 11:00:00.00",5.92,116929.05,102135.6
"TSR1",12,"2016-05-02 11:00:00.00",5.92,144692.1,102135.6
"TSR1",1,"2016-05-04 14:30:00.00",8.06,168402.15,102034.275
"TSR1",2,"2016-05-04 14:30:00.00",8.06,164957.1,102034.275
"TSR1",3,"2016-05-04 14:30:00.00",8.06,162120,102034.275
"TSR1",4,"2016-05-04 14:30:00.00",8.06,163031.925,102034.275
"TSR1",5,"2016-05-04 14:30:00.00",8.06,148947.75,102034.275
"TSR1",6,"2016-05-04 14:30:00.00",8.06,135775.5,102034.275
"TSR1",7,"2016-05-04 14:30:00.00",8.06,135775.5,102034.275
"TSR1",8,"2016-05-04 14:30:00.00",8.06,151683.525,102034.275
"TSR1",9,"2016-05-04 14:30:00.00",8.06,110545.575,102034.275
"TSR1",10,"2016-05-04 14:30:00.00",8.06,111862.8,102034.275
"TSR1",11,"2016-05-04 14:30:00.00",8.06,114497.25,102034.275
"TSR1",12,"2016-05-04 14:30:00.00",8.06,144388.125,102034.275
"TSR1",1,"2016-05-09 10:45:00.00",12.91,176710.8,101021.025
"TSR1",2,"2016-05-09 10:45:00.00",12.91,175697.55,101021.025
"TSR1",3,"2016-05-09 10:45:00.00",12.91,168503.475,101021.025
"TSR1",4,"2016-05-09 10:45:00.00",12.91,167490.225,101021.025
"TSR1",5,"2016-05-09 10:45:00.00",12.91,180662.475,101021.025
"TSR1",6,"2016-05-09 10:45:00.00",12.91,180459.825,101021.025
"TSR1",7,"2016-05-09 10:45:00.00",12.91,170023.35,101021.025
"TSR1",8,"2016-05-09 10:45:00.00",12.91,178129.35,101021.025
"TSR1",9,"2016-05-09 10:45:00.00",12.91,105175.35,101021.025
"TSR1",10,"2016-05-09 10:45:00.00",12.91,105580.65,101021.025
"TSR1",11,"2016-05-09 10:45:00.00",12.91,107404.5,101021.025
"TSR1",12,"2016-05-09 10:45:00.00",12.91,167591.55,101021.025
