"date","time","days","bottle","mass"
"26-03-2015","17:04",0,1,197.683
"26-03-2015","17:04",0,2,195.5369
"26-03-2015","17:04",0,3,195.8712
"26-03-2015","17:04",0,4,190.1325
"26-03-2015","17:04",0,5,189.8205
"26-03-2015","17:04",0,6,190.9065
"26-03-2015","17:04",0,7,185.9227
"26-03-2015","17:04",0,8,188.2907
"26-03-2015","17:04",0,9,187.7746
"26-03-2015","17:04",0,10,188.4349
"26-03-2015","17:04",0,12,185.0187
"26-03-2015","17:04",0,13,188.7954
"26-03-2015","17:04",0,14,185.8327
"26-03-2015","17:04",0,15,184.7837
"26-03-2015","17:04",0,16,186.0931
"26-03-2015","17:04",0,17,185.4317
"26-03-2015","17:04",0,18,186.6853
"26-03-2015","17:04",0,19,185.6179
"26-03-2015","17:04",0,20,184.4957
"26-03-2015","17:04",0,21,184.9659
"26-03-2015","17:04",0,22,182.2728
"26-03-2015","17:04",0,23,181.8342
"26-03-2015","17:04",0,24,182.6465
"26-03-2015","17:04",0,26,182.63
"26-03-2015","17:04",0,27,183.6224
"28-03-2015","15:15",1.924,1,197.6327
"28-03-2015","15:15",1.924,2,195.4887
"28-03-2015","15:15",1.924,3,195.8195
"28-03-2015","15:15",1.924,4,190.0452
"28-03-2015","15:15",1.924,5,189.7264
"28-03-2015","15:15",1.924,6,190.8377
"28-03-2015","15:15",1.924,7,185.8753
"28-03-2015","15:15",1.924,8,188.2419
"28-03-2015","15:15",1.924,9,187.7332
"28-03-2015","15:15",1.924,10,188.386
"28-03-2015","15:15",1.924,11,185.6495
"28-03-2015","15:15",1.924,12,184.9722
"28-03-2015","15:15",1.924,13,188.7472
"28-03-2015","15:15",1.924,14,185.7877
"28-03-2015","15:15",1.924,15,184.737
"28-03-2015","15:15",1.924,16,186.048
"28-03-2015","15:15",1.924,17,185.3787
"28-03-2015","15:15",1.924,18,186.634
"28-03-2015","15:15",1.924,19,185.5685
"28-03-2015","15:15",1.924,20,184.4525
"28-03-2015","15:15",1.924,21,184.923
"28-03-2015","15:15",1.924,22,182.2411
"28-03-2015","15:15",1.924,23,181.7981
