"bottle","tare","descrip","start"
1,145.4186,"inoc",2015-03-26 17:04:00
2,145.3981,"inoc",2015-03-26 17:04:00
3,144.7467,"inoc",2015-03-26 17:04:00
4,144.9024,"cell",2015-03-26 17:04:00
5,145.5956,"cell",2015-03-26 17:04:00
6,144.2502,"cell",2015-03-26 17:04:00
7,145.0678,"t0",2015-03-26 17:04:00
8,145.4115,"t0",2015-03-26 17:04:00
9,144.5406,"t0",2015-03-26 17:04:00
10,145.7494,"t1",2015-03-26 17:04:00
11,144.7039,"t1",2015-03-26 17:04:00
12,144.8491,"t3",2015-03-26 17:04:00
13,144.3264,"t3",2015-03-26 17:04:00
14,145.2695,"t4",2015-03-26 17:04:00
15,145.4654,"t4",2015-03-26 17:04:00
16,144.1658,"t4",2015-03-26 17:04:00
17,144.5059,"t4heat",2015-03-26 17:04:00
18,144.7317,"t4heat",2015-03-26 17:04:00
19,145.1628,"t4heat",2015-03-26 17:04:00
20,144.5782,"t5",2015-03-26 17:04:00
21,144.08,"t5",2015-03-26 17:04:00
22,145.0805,"t6",2015-03-26 17:04:00
23,144.7604,"t6",2015-03-26 17:04:00
24,145.3118,"t6",2015-03-26 17:04:00
25,144.4914,"t6imm",2015-03-26 17:04:00
26,145.7588,"t6imm",2015-03-26 17:04:00
27,144.8244,"t6imm",2015-03-26 17:04:00
